"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize"
"CrackerJournal11\CrackerJournal11.Slave";"NoError, ClearMem";"Cracker Journal #11 1988 Alpha Flight.";"Cracker Journal #11";"1988 Alpha Flight";"0";"C\CrackerJournal11_v1.0_AlphaFlight.lha";"CrackerJournal11";"CrackerJournal11";"0";"whdload";"524288";"902948"
"CrackerJournal12\CrackerJournal12.slave";"NoError, ClearMem";"Cracker Journal #12 1989 Alpha Flight.";"Cracker Journal #12";"1989 Alpha Flight";"0";"C\CrackerJournal12_v1.01_AlphaFlight.lha";"CrackerJournal12";"CrackerJournal12";"0";"whdload";"524288";"903936"
"CrackerJournal13\CrackerJournal13.Slave";"NoError, ClearMem";"Cracker Journal #13 1989 Alpha Flight.";"Cracker Journal #13";"1989 Alpha Flight";"0";"C\CrackerJournal13_v1.0_AlphaFlight.lha";"CrackerJournal13";"CrackerJournal13";"0";"whdload";"524288";"841871"
"CrackerJournal14\CrackerJournal14.Slave";"NoError, ClearMem";"Cracker Journal #14 1989 Alpha Flight.";"Cracker Journal #14";"1989 Alpha Flight";"0";"C\CrackerJournal14_v1.0_AlphaFlight.lha";"CrackerJournal14";"CrackerJournal14";"0";"whdload";"524288";"807016"
"CrackerJournal15\CrackerJournal15.Slave";"NoError, ClearMem";"Cracker Journal #15 1989 Alpha Flight.";"Cracker Journal #15";"1989 Alpha Flight";"0";"C\CrackerJournal15_v1.0_AlphaFlight.lha";"CrackerJournal15";"CrackerJournal15";"0";"whdload";"524288";"796561"
"CrackerJournal16\CrackerJournal16.Slave";"NoError, ClearMem";"Cracker Journal #16 1989 Alpha Flight.";"Cracker Journal #16";"1989 Alpha Flight";"0";"C\CrackerJournal16_v1.0_AlphaFlight.lha";"CrackerJournal16";"CrackerJournal16";"0";"whdload";"524288";"790557"
"CrackerJournal17\CrackerJournal17.Slave";"NoError, ClearMem";"Cracker Journal #17 ? 1989 Alpha Flight.";"Cracker Journal #17";"1989 Alpha Flight";"0";"C\CrackerJournal17_v1.0_AlphaFlight.lha";"CrackerJournal17";"CrackerJournal17";"0";"whdload";"524288";"731975"
"CrackerJournal18\CrackerJournal18.Slave";"NoError, ClearMem";"Cracker Journal #18 ? 1990 Alpha Flight.";"Cracker Journal #18";"1990 Alpha Flight";"0";"C\CrackerJournal18_v1.0_AlphaFlight.lha";"CrackerJournal18";"CrackerJournal18";"0";"whdload";"524288";"846893"
"CrackerJournal19\CrackerJournal19.Slave";"NoError, ClearMem";"Cracker Journal #19 ? 1990 Alpha Flight.";"Cracker Journal #19";"1990 Alpha Flight";"0";"C\CrackerJournal19_v1.0_AlphaFlight.lha";"CrackerJournal19";"CrackerJournal19";"0";"whdload";"524288";"853372"
"CrackerJournal20\CrackerJournal20.Slave";"NoError, ClearMem";"Cracker Journal #20 ? 1990 Alpha Flight.";"Cracker Journal #20";"1990 Alpha Flight";"0";"C\CrackerJournal20_v1.0_AlphaFlight.lha";"CrackerJournal20";"CrackerJournal20";"0";"whdload";"524288";"863826"
"CrackerJournal21\CrackerJournal21.Slave";"NoError, ClearMem";"Cracker Journal #21 ? 1990 Alpha Flight.";"Cracker Journal #21";"1990 Alpha Flight";"0";"C\CrackerJournal21_v1.0_AlphaFlight.lha";"CrackerJournal21";"CrackerJournal21";"0";"whdload";"524288";"1702536"
"CrackerJournal22\CrackerJournal22.Slave";"NoError, ClearMem";"Cracker Journal #22 ? 1990 Alpha Flight.";"Cracker Journal #22";"1990 Alpha Flight";"0";"C\CrackerJournal22_v1.0_AlphaFlight.lha";"CrackerJournal22";"CrackerJournal22";"0";"whdload";"524288";"815307"
"DISC1\DISC1.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #1 ? 1990 Level 4.";"D.I.S.C. #1";"Level 4";"262144";"D\DISC1_v1.0_Level4.lha";"DISC1";"DISC1";"0";"whdload";"524288";"557924"
"DISC2\DISC2.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #2 ? 1990 Level 4.";"D.I.S.C. #2";"Level 4";"262144";"D\DISC2_v1.0_Level4.lha";"DISC2";"DISC2";"0";"whdload";"524288";"776211"
"DISC3\DISC3.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #3 ? 1990 Level 4.";"D.I.S.C. #3";"Level 4";"262144";"D\DISC3_v1.0_Level4.lha";"DISC3";"DISC3";"0";"whdload";"524288";"712223"
"DISC4\DISC4.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #4 ? 1990 Level 4.";"D.I.S.C. #4";"Level 4";"262144";"D\DISC4_v1.0_Level4.lha";"DISC4";"DISC4";"0";"whdload";"524288";"574385"
"DISC5\DISC5.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #5 ? 1990 Level 4.";"D.I.S.C. #5";"Level 4";"262144";"D\DISC5_v1.0_Level4.lha";"DISC5";"DISC5";"0";"whdload";"524288";"704876"
"DISC6\DISC6.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #6 ? 1991 Level 4.";"D.I.S.C. #6";"Level 4";"262144";"D\DISC6_v1.0_Level4.lha";"DISC6";"DISC6";"0";"whdload";"524288";"748621"
"DISC7\DISC7.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #7 ? 1991 Level 4.";"D.I.S.C. #7";"Level 4";"262144";"D\DISC7_v1.0_Level4.lha";"DISC7";"DISC7";"0";"whdload";"524288";"480165"
"DISC8\DISC8.Slave";"NoError, EmulTrap, EmulPriv, Examine";"DISC #8 ? 1991 Level 4.";"D.I.S.C #8";"Level 4";"262144";"D\DISC8_v1.0_Level4.lha";"DISC8";"DISC8";"0";"whdload";"524288";"262124"
"Exit1\Exit1.Slave";"NoError, EmulTrap";"Exit 1 (c) 1993 Vectors - 1 disk.";"Exit 1 (Czech Disk Mag)";"1993 Vectors";"4096";"E\Exit1_v1.0_Vectors.lha";"Exit1";"Exit1";"0";"whdload";"524288";"858406"
"Exit2\Exit2.Slave";"NoError, EmulTrap";"Exit 2 (c) 1993 Vectors - 1 disk.";"Exit 2 (Czech Disk Mag)";"1993 Vectors";"4096";"E\Exit2_v1.0_Vectors.lha";"Exit2";"Exit2";"0";"whdload";"524288";"920055"
"Exit3\Exit3.Slave";"NoError, EmulTrap";"Exit 3 (c) 1993 Vectors - 1 disk.";"Exit 3 (Czech Disk Mag)";"1993 Vectors";"4096";"E\Exit3_v1.0_Vectors.lha";"Exit3";"Exit3";"0";"whdload";"524288";"923521"
"Exit4\Exit4.Slave";"NoError, EmulTrap";"Exit 4 (c) 1994 Vectors - 1 disk.";"Exit 4 (Czech Disk Mag)";"1993 Vectors";"4096";"E\Exit4_v1.0_Vectors.lha";"Exit4";"Exit4";"0";"whdload";"524288";"924150"
"FourthDimension1\FourthDimension1.Slave";"NoError, EmulPriv, Examine";"4th Dimension #1 ? 1990 Crptoburners.";"4th Dimension #1";"Cryptoburners";"262144";"F\FourthDimension1_v1.0_Cryptoburners.lha";"FourthDimension1";"FourthDimension1";"0";"whdload";"524288";"813985"
"FourthDimension2\FourthDimension2.Slave";"NoError, EmulPriv, Examine";"4th Dimesnion #2 ? 1990 Cryptoburners.";"4th Dimension #2";"1990 Cryptoburners";"262144";"F\FourthDimension2_v1.0_Cryptoburners.lha";"FourthDimension2";"FourthDimension2";"0";"whdload";"524288";"757424"
"FourthDimension3\FourthDimension3.Slave";"NoError, ClearMem";"4th Dimension #3 1990 Cryptoburners.";"4th Dimension #3";"1990 Cryptoburners";"0";"F\FourthDimension3_v1.0_Cryptoburners.lha";"FourthDimension3";"FourthDimension3";"0";"whdload";"524288";"557438"
"Grapevine05\Grapevine05.Slave";"NoError, EmulTrap, ClearMem";"Grapevine #5 1991 LSD.";"Grapevine #5";"1991 LSD";"524288";"G\Grapevine05_v1.0_LSD.lha";"Grapevine05";"Grapevine05";"0";"whdload";"524288";"648478"
"Grapevine06\Grapevine06.Slave";"NoError, EmulTrap, ClearMem";"Grapevine #6 1991 LSD.";"Grapevine #6";"1991 LSD";"524288";"G\Grapevine06_v1.0_LSD.lha";"Grapevine06";"Grapevine06";"0";"whdload";"524288";"508120"
"Grapevine07\Grapevine07.Slave";"NoError, EmulTrap, ClearMem";"Grapevine #7 1991 LSD.";"Grapevine #7";"1991 LSD";"524288";"G\Grapevine07_v1.0_LSD.lha";"Grapevine07";"Grapevine07";"0";"whdload";"524288";"900740"
"Grapevine08\Grapevine08.Slave";"NoError, EmulPriv, Examine";"Grapevine #8 1992 LSD.";"Grapevine #8";"1992 LSD";"786432";"G\Grapevine08_v1.0_LSD.lha";"Grapevine08";"Grapevine08";"0";"whdload";"524288";"1033060"
"Grapevine09\Grapevine09.Slave";"NoError, EmulPriv, Examine";"Grapevine #9 1992 LSD.";"Grapevine #9";"1992 LSD";"786432";"G\Grapevine09_v1.0_LSD.lha";"Grapevine09";"Grapevine09";"0";"whdload";"524288";"1990173"
"Grapevine10\Grapevine10.Slave";"NoError, EmulPriv, Examine";"Grapevine #10 1992 LSD.";"Grapevine #10";"1992 LSD";"786432";"G\Grapevine10_v1.0_LSD.lha";"Grapevine10";"Grapevine10";"0";"whdload";"524288";"3126106"
"Grapevine11\Grapevine11.Slave";"NoError, EmulPriv, Examine";"Grapevine #11 1992 LSD.";"Grapevine #11";"1992 LSD";"786432";"G\Grapevine11_v1.0_LSD.lha";"Grapevine11";"Grapevine11";"0";"whdload";"524288";"1952802"
"Grapevine12\Grapevine12.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Grapevine #12 1992 LSD.";"Grapevine #12";"1992 LSD";"786432";"G\Grapevine12_v1.0_LSD.lha";"Grapevine12";"Grapevine12";"0";"whdload";"524288";"2826710"
"Grapevine13\Grapevine13.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Grapevine #13 1992 LSD.";"Grapevine #13";"1992 LSD";"786432";"G\Grapevine13_v1.0_LSD.lha";"Grapevine13";"Grapevine13";"0";"whdload";"524288";"2726788"
"Grapevine14\Grapevine14.slave";"NoError, EmulTrap, EmulPriv, Examine";"Grapevine #14 1993 LSD.";"Grapevine #14";"1993 LSD";"1310720";"G\Grapevine14_v1.01_LSD.lha";"Grapevine14";"Grapevine14";"0";"whdload";"524288";"2736617"
"Grapevine15\Grapevine15.slave";"NoError, EmulTrap, EmulPriv, Examine";"Grapevine #15 1993 LSD.";"Grapevine #15";"1993 LSD";"1310720";"G\Grapevine15_v1.01_LSD.lha";"Grapevine15";"Grapevine15";"0";"whdload";"524288";"2696862"
"Grapevine16\Grapevine16.slave";"NoError, EmulTrap, EmulPriv, Examine";"Grapevine #16 1993 LSD.";"Grapevine #16";"1993 LSD";"1310720";"G\Grapevine16_v1.02_LSD.lha";"Grapevine16";"Grapevine16";"0";"whdload";"524288";"2760038"
"Grapevine17\Grapevine17.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Grapevine #17 1993 LSD.";"Grapevine #17";"1993 LSD";"786432";"G\Grapevine17_v1.0_LSD.lha";"Grapevine17";"Grapevine17";"0";"whdload";"524288";"2762029"
"Grapevine18\Grapevine18.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Grapevine #18 1993 LSD.";"Grapevine #18";"1993 LSD";"786432";"G\Grapevine18_v1.0_LSD.lha";"Grapevine18";"Grapevine18";"0";"whdload";"524288";"2742494"
"Grapevine19\Grapevine19.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Grapevine #19 1994 LSD.";"Grapevine #19";"1994 LSD";"786432";"G\Grapevine19_v1.0_LSD.lha";"Grapevine19";"Grapevine19";"0";"whdload";"524288";"2781269"
"Grapevine20\Grapevine20.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Grapevine #20 1994 LSD.";"Grapevine #20";"1994 LSD";"786432";"G\Grapevine20_v1.0_LSD.lha";"Grapevine20";"Grapevine20";"0";"whdload";"524288";"1928559"
"Grapevine21\Grapevine21.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Grapevine #21 1995 LSD.";"Grapevine #21";"1995 LSD";"786432";"G\Grapevine21_v1.0_LSD.lha";"Grapevine21";"Grapevine21";"0";"whdload";"524288";"1683165"
"Ice01\Ice01.Slave";"NoError, EmulPriv, Examine";"ICE #1 ? 1990 Cytax.";"ICE #1";"1990 Cytax";"786432";"I\Ice1_v1.0_Cytax.lha";"Ice01";"Ice01";"0";"whdload";"524288";"389471"
"Ice02\Ice02.slave";"NoError, EmulPriv, Examine";"ICE #2 ? 1991 Cytax.";"ICE #2";"1991 Cytax";"262144";"I\Ice2_v1.02_Cytax.lha";"Ice02";"Ice02";"0";"whdload";"524288";"468532"
"Ice3\Ice3.Slave";"NoError, EmulTrap, EmulPriv, Examine";"I.C.E. #3 ? 1991 Cytax.";"I.C.E. #3";"Cytax";"262144";"I\Ice3_v1.0_Cytax.lha";"Ice3";"Ice3";"0";"whdload";"524288";"635381"
"Ice4\Ice4.Slave";"NoError, EmulPriv, Examine";"I.C.E. #4 ? 1991 Cytax.";"I.C.E. Issue #4";"1991 Cytax";"262144";"I\Ice4_v1.0_Cytax.lha";"Ice4";"Ice4";"0";"whdload";"524288";"543715"
"Ice5\Ice5.Slave";"NoError, EmulPriv, Examine";"I.C.E. #5 ? 1991 Cytax.";"I.C.E. Issue #5";"1991 Cytax";"786432";"I\Ice5_v1.0_Cytax.lha";"Ice5";"Ice5";"0";"whdload";"524288";"649308"
"Ice6\Ice6.Slave";"NoError, EmulTrap, EmulPriv, Examine";"I.C.E. #6 ? 1991 Cytax.";"I.C.E. #6";"Cytax";"786432";"I\Ice6_v1.0_Cytax.lha";"Ice6";"Ice6";"0";"whdload";"524288";"888757"
"Ice7\Ice7.Slave";"NoError, EmulTrap, EmulPriv, Examine";"I.C.E. #7 ? 1992 Cytax.";"I.C.E. #7";"1992 Cytax";"262144";"I\Ice7_v1.0_Cytax.lha";"Ice7";"Ice7";"0";"whdload";"524288";"1189502"
"Ice8\Ice8.Slave";"NoError, EmulTrap, EmulPriv, Examine";"I.C.E. #8 ? 1992 Cytax.";"I.C.E. #8";"1992 Cytax";"786432";"I\Ice8_v1.0_Cytax.lha";"Ice8";"Ice8";"0";"whdload";"524288";"745287"
"McDisk1\McDisk1.Slave";"NoError, EmulTrap, ClearMem";"McDisk #1 ? 1991 Coma.";"McDisk #1";"1991 Coma";"524288";"M\McDisk1_v1.0_Coma.lha";"McDisk1";"McDisk1";"0";"whdload";"524288";"975023"
"McDisk2\McDisk2.Slave";"NoError, EmulTrap, ClearMem";"McDisk #2 ? 1991 Coma.";"McDisk #2";"1991 Coma";"0";"M\McDisk2_v1.0_Coma.lha";"McDisk2";"McDisk2";"0";"whdload";"524288";"965734"
"McDisk3\McDisk3.Slave";"NoError, EmulTrap, ClearMem";"McDisk #3 ? 1992 Coma.";"McDisk #3";"1992 Coma";"524288";"M\McDisk3_v1.0_Coma.lha";"McDisk3";"McDisk3";"0";"whdload";"524288";"1085117"
"PENIS1\PENIS1.Slave";"NoError, EmulTrap, ClearMem";"P.E.N.I.S #1 ? 1989 Doctor Mabuse Orgasm Crackings.";"P.E.N.I.S #1";"1989 Doctor Mabuse Orgasm Crackings";"0";"P\PENIS1_v1.0_DMOC.lha";"PENIS1";"PENIS1";"0";"whdload";"524288";"570236"
"PENIS2\PENIS2.Slave";"NoError, EmulTrap, ClearMem";"P.E.N.I.S #2 ? 1989 Doctor Mabuse Orgasm Crackings.";"P.E.N.I.S #2";"1989 Doctor Mabuse Orgasm Crackings";"0";"P\PENIS2_v1.0_DMOC.lha";"PENIS2";"PENIS2";"0";"whdload";"524288";"639457"
"PENIS3\PENIS3.Slave";"NoError, EmulTrap, ClearMem";"P.E.N.I.S #3 ? 1989 Doctor Mabuse Orgasm Crackings.";"P.E.N.I.S #3";"1989 Doctor Mabuse Orgasm Crackings";"0";"P\PENIS3_v1.0_DMOC.lha";"PENIS3";"PENIS3";"0";"whdload";"524288";"723543"
"ROM1\ROM1.Slave";"NoError, ClearMem";"R.O.M. #1 ? 1994 Essence";"R.O.M. Issue No.1";"1994 Essnce";"430080";"R\ROM1_v1.0_Essence.lha";"ROM1";"ROM1";"0";"whdload";"471040";"915964"
"ROM2\ROM2.Slave";"NoError";"R.O.M. #2 ? 1994 Essence";"R.O.M. Issue No.2";"1994 Essence";"368640";"R\ROM2_v1.0_Essence.lha";"ROM2";"ROM2";"0";"whdload";"462848";"782917"
"Scene1\Scene1.Slave";"NoError, EmulPriv, Examine";"The Scene #1 ? 1990 Mystix.";"The Scene #1";"1990 Mystix";"262144";"S\Scene1_v1.0_Mystix.lha";"Scene1";"Scene1";"0";"whdload";"524288";"529606"
"Scene2Abel\Scene2Abel.Slave";"NoError";;"The Scene #2";"Abel 1990";"0";"S\Scene2_v1.0_Abel.lha";"Scene2Abel";"Scene2Abel";"0";"whdload";"524288";"140433"
"Scene3Decay\Scene3Decay.slave";"NoError";;"The Scene #3";"Decay";"0";"S\Scene3_v1.0_Decay.lha";"Scene3Decay";"Scene3Decay";"0";"whdload";"524288";"105856"
"Scene4Prophecy\Scene4Prophecy.Slave";"NoError, EmulPriv, Examine";"The Scene 4 ? 1990 Prophecy.";"The Scene #4";"1990 Prophecy";"262144";"S\Scene4_v1.0_Prophecy.lha";"Scene4Prophecy";"Scene4Prophecy";"0";"whdload";"524288";"399330"
"SceneTalk1\SceneTalk1.slave";"NoError, EmulTrap, ClearMem";"Scene Talk ? 1992 Submission.";"Scene Talk #1";"1992 Submission";"0";"S\SceneTalk1_v1.01_Submission.lha";"SceneTalk1";"SceneTalk1";"0";"whdload";"524288";"923506"
"SceneTalk2\SceneTalk2.slave";"NoError, EmulTrap, ClearMem";"Scene Talk 2 ? 1992 Submission.";"Scene Talk #2";"1992 Submission";"0";"S\SceneTalk2_v1.01_Submission.lha";"SceneTalk2";"SceneTalk2";"0";"whdload";"524288";"925410"
"SceneTalk3\SceneTalk3.slave";"NoError, EmulTrap, ClearMem";"Scene Talk 3 ? 1993 Submission.";"Scene Talk #3";"1993 Submission";"0";"S\SceneTalk3_v1.01_Submission.lha";"SceneTalk3";"SceneTalk3";"0";"whdload";"524288";"922703"
"SceneTalk4\SceneTalk4.Slave";"NoError, EmulTrap, ClearMem";"Scene Talk #4 ? 1993 Submission.";"Scene Talk #4";"1993 Submission";"0";"S\SceneTalk4_v1.0_Submission.lha";"SceneTalk4";"SceneTalk4";"0";"whdload";"524288";"922130"
"SceneTalk5\SceneTalk5.Slave";"NoError, EmulTrap, ClearMem";"Scene Talk #5 ? 1993 Mystic.";"Scene Talk #5";"1993 Mystic";"0";"S\SceneTalk5_v1.0_Mystic.lha";"SceneTalk5";"SceneTalk5";"0";"whdload";"524288";"921655"
"SceneTalk6\SceneTalk6.Slave";"NoError, EmulTrap, ClearMem";"Scene Talk #6 ? 1993 Mystic.";"Scene Talk #6";"1993 Mystic";"524288";"S\SceneTalk6_v1.0_Mystic.lha";"SceneTalk6";"SceneTalk6";"0";"whdload";"524288";"920579"
"SceneTalk7\SceneTalk7.Slave";"NoError, EmulTrap, ClearMem";"Scene Talk #7 ? 1994 Mystic.";"Scene Talk #7";"1994 Mystic";"524288";"S\SceneTalk7_v1.0_Mystic.lha";"SceneTalk7";"SceneTalk7";"0";"whdload";"524288";"921703"
"SceneTalk8\SceneTalk8.Slave";"NoError, EmulTrap, ClearMem";"Scene Talk #8 ? 1995 Mystic.";"Scene Talk #8";"1995 Mystic";"524288";"S\SceneTalk8_v1.0_Mystic.lha";"SceneTalk8";"SceneTalk8";"0";"whdload";"524288";"1823148"
"StolenData07\StolenData07.Slave";"NoError, EmulTrap, ClearMem";"Stolen Data #7 1991 Anarchy & Flash Production.";"Stolen Data #7";"1991 Anarchy & Flash Production";"0";"S\StolenData07_v1.0_Anarchy&FlashProductions.lha";"StolenData07";"StolenData07";"0";"whdload";"524288";"627333"
"StolenData08\StolenData08.Slave";"NoError, EmulTrap, ClearMem";"Stolen Data #8 1992 Anarchy.";"Stolen Data #8";"1992 Anarchy";"0";"S\StolenData08_v1.0_Anarchy.lha";"StolenData08";"StolenData08";"0";"whdload";"524288";"1241274"
"Upstream01\Upstream01.Slave";"NoError, EmulTrap, ClearMem";"Upstream #1 ? 1993 Frogs.";"Upstream #1";"1993 Frogs";"0";"U\Upstream01_v1.0_Frogs.lha";"Upstream01";"Upstream01";"0";"whdload";"524288";"1105080"
"VisualIntensity1\VisualIntensity1.Slave";"NoError, EmulTrap, EmulPriv, Examine";"Visual Intensity #1 ? 1993 Dual Format.";"Visual Intensity #1";"1993 Dual Format";"786432";"V\VisualIntensity1_v1.0_Dual4Mat.lha";"VisualIntensity1";"VisualIntensity1";"0";"whdload";"524288";"895062"
"WorldCharts09\WorldCharts09.Slave";"NoError, ClearMem";"Worldcharts 9 ? 1993 The Silents.";"Worldcharts 9";"1993 The Silents";"0";"W\WorldCharts09_v1.0_Silents.lha";"WorldCharts09";"WorldCharts09";"0";"whdload";"524288";"336203"
"Zine01\Zine01.Slave";"NoError, EmulTrap, ClearMem";"Zine #1 1989 Brainstorm.";"Zine #1";"1989 Brainstorm";"0";"Z\Zine01_v1.0_Brainstorm.lha";"Zine01";"Zine01";"0";"whdload";"524288";"315199"
"Zine02\Zine02.Slave";"NoError, ClearMem";"Zine #2 1989 Brainstorm.";"Zine #2";"1989 Brainstorm";"0";"Z\Zine02_v1.0_Brainstorm.lha";"Zine02";"Zine02";"0";"whdload";"524288";"374408"
"Zine03\Zine03.Slave";"NoError, ClearMem";"Zine #3 1990 Brainstorm.";"Zine #3";"1990 Brainstorm";"0";"Z\Zine03_v1.0_Brainstorm.lha";"Zine03";"Zine03";"0";"whdload";"524288";"369413"
"Zine04\Zine04.Slave";"NoError, ClearMem";"Zine #4 1990 Brainstorm.";"Zine #4";"1990 Brainstorm";"0";"Z\Zine04_v1.0_Brainstorm.lha";"Zine04";"Zine04";"0";"whdload";"524288";"564248"
"Zine05\Zine05.slave";"NoError, ClearMem";"Zine #5 1990 Brainstorm.";"Zine #5";"1990 Brainstorm";"0";"Z\Zine05_v1.0a_Brainstorm.lha";"Zine05";"Zine05";"0";"whdload";"524288";"431896"
"Zine06\Zine06.slave";"NoError, ClearMem";"Zine #6 1990 Brainstorm.";"Zine #6";"1990 Brainstorm";"0";"Z\Zine06_v1.0a_Brainstorm.lha";"Zine06";"Zine06";"0";"whdload";"524288";"623064"
"Zine07\Zine07.slave";"NoError, ClearMem";"Zine #7 1990 Brainstorm.";"Zine #7";"1990 Brainstorm";"0";"Z\Zine07_v1.0a_Brainstorm.lha";"Zine07";"Zine07";"0";"whdload";"524288";"762061"
"Zine08\Zine08.Slave";"NoError, EmulTrap, ClearMem";"Zine #8 1991 Brainstorm.";"Zine #8";"1991 Brainstorm";"0";"Z\Zine08_v1.0_Brainstorm.lha";"Zine08";"Zine08";"0";"whdload";"524288";"826086"
"Zine09\Zine09.Slave";"NoError, ClearMem";"Zine #9 1991 Brainstorm.";"Zine #9";"1991 Brainstorm";"0";"Z\Zine09_v1.0_Brainstorm.lha";"Zine09";"Zine09";"0";"whdload";"524288";"776279"
